"PlusbusZoneCode","Name","NameLang","Country","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"STALBCY","STALBCY","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"STAUSTL","STAUSTL","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"STEVNGE","STEVNGE","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"STHCENT","STHCENT","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"STHLNSC","STHLNSC","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"STIRLNG","STIRLNG","en","Scotland","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"STNEOTS","STNEOTS","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"STOKEOT","STOKEOT","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"STRUD","STRUD","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"SVNOAKS","SVNOAKS","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"SWANSEA","SWANSEA","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"TAMWORTH","TAMWORTH","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"TAUNTON","TAUNTON","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"TELFRDC","TELFRDC","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"TENBY","TENBY","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"TONBDG","TONBDG","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"TOTNES","TOTNES","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"TRING","TRING","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"TRURO","TRURO","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"TUNWELL","TUNWELL","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"WATFDJ","WATFDJ","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"WEYMTH","WEYMTH","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"WHITHVN","WHITHVN","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"WIKFORD","WIKFORD","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"WINDSEC","WINDSEC","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"WITHAME","WITHAME","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"WKNT","WKNT","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"WLNGBRO","WLNGBRO","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"WLWYNGC","WLWYNGC","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"WMER","WMER","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"WNCHSTR","WNCHSTR","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"WOKING","WOKING","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"WOKNGHM","WOKNGHM","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"WORCSFS","WORCSFS","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"WORKSOP","WORKSOP","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"WORTHNG","WORTHNG","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"WREXHMG","WREXHMG","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"WRGT","WRGT","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"WSMARE","WSMARE","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"YARMTH","YARMTH","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"YORK","YORK","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"YOVILJN","YOVILJN","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
