"NptgLocalityCode","AdjacentNptgLocalityCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"N0065277","E0040561","","",,""
"N0065277","E0053609","","",,""
"N0065277","E0053605","","",,""
"N0065277","N0065270","","",,""
"N0065336","N0065263","","",,""
"N0065336","N0065337","","",,""
"N0065336","N0065341","","",,""
"N0065336","N0065338","","",,""
"N0065336","E0043794","","",,""
"N0065337","N0065338","","",,""
"N0065337","N0065341","","",,""
"N0065337","N0065336","","",,""
"N0065337","N0078426","","",,""
"N0065337","N0065263","","",,""
"N0065337","N0065100","","",,""
"N0065338","N0065100","","",,""
"N0065338","N0065099","","",,""
"N0065338","N0065263","","",,""
"N0065338","N0065336","","",,""
"N0065338","N0065337","","",,""
"N0065338","N0065341","","",,""
"N0065341","N0065337","","",,""
"N0065341","N0065263","","",,""
"N0065342","N0065260","","",,""
"N0065342","N0065259","","",,""
"N0066825","ES003123","","",,""
"N0066825","N0066854","","",,""
"N0066825","N0066881","","",,""
"N0066862","N0066922","","",,""
"N0066862","N0066944","","",,""
"N0066862","N0077232","","",,""
"N0066935","N0066830","","",,""
"N0066955","ES000918","","",,""
"N0066967","N0066870","","",,""
"N0066970","N0076160","","",,""
"N0070087","ES000051","","",,""
"N0070087","N0068516","","",,""
"N0070087","N0070108","","",,""
"N0073128","E0031923","","",,""
"N0073328","N0076655","","",,""
"N0073328","N0073330","","",,""
"N0073373","N0073445","","",,""
"N0073373","ES003028","","",,""
"N0074735","E0052373","","",,""
"N0074801","N0078014","","",,""
"N0074801","N0076118","","",,""
"N0074821","E0015172","","",,""
"N0074821","E0047273","","",,""
"N0076160","N0066970","","",,""
"N0076655","N0073330","","",,""
"N0076655","N0073328","","",,""
"N0077232","N0066862","","",,""
"N0077287","ES001788","","",,""
"N0077807","E0043776","","",,""
"N0077807","E0001057","","",,""
"N0077807","E0001054","","",,""
"N0077839","E0030975","","",,""
"N0077839","E0031139","","",,""
"N0077839","E0031244","","",,""
"N0077839","E0031284","","",,""
"N0077921","N0060018","","",,""
"N0077921","N0060020","","",,""
"N0077921","N0060072","","",,""
"N0077921","N0060073","","",,""
"N0077922","E0057603","","",,""
"N0077922","E0020558","","",,""
"N0077922","E0020557","","",,""
"N0077927","E0020560","","",,""
"N0077927","E0050099","","",,""
"N0077931","E0001997","","",,""
"N0077932","N0076118","","",,""
"N0077981","E0047127","","",,""
"N0077981","E0014627","","",,""
"N0077981","E0014634","","",,""
"N0078008","E0014613","","",,""
"N0078008","E0047138","","",,""
"N0078014","N0076118","","",,""
"N0078014","N0078008","","",,""
"N0078014","N0074801","","",,""
"N0078014","E0014613","","",,""
"N0078036","E0014634","","",,""
"N0078036","N0078038","","",,""
"N0078038","N0078036","","",,""
"N0078038","N0078008","","",,""
"N0078041","N0077932","","",,""
"N0078041","E0014634","","",,""
"N0078041","N0078049","","",,""
"N0078049","N0078041","","",,""
"N0078049","E0014560","","",,""
"N0078049","E0056024","","",,""
"N0078050","E0014634","","",,""
"N0078050","N0078041","","",,""
"N0078058","E0014497","","",,""
"N0078058","E0056015","","",,""
"N0078058","N0061166","","",,""
"N0078058","E0047092","","",,""
"N0078058","E0047110","","",,""
"N0078059","E0015030","","",,""
"N0078059","E0047226","","",,""
"N0078059","E0056051","","",,""
"N0078059","N0061165","","",,""
"N0078059","N0074819","","",,""
"N0078060","E0047125","","",,""
"N0078060","E0014586","","",,""
"N0078063","E0014771","","",,""
"N0078063","E0014711","","",,""
"N0078063","E0014803","","",,""
"N0078068","E0014654","","",,""
"N0078068","E0014554","","",,""
"N0078074","E0014784","","",,""
"N0078074","E0014837","","",,""
"N0078074","E0014711","","",,""
"N0078074","E0014803","","",,""
"N0078074","N0078063","","",,""
"N0078075","N0078074","","",,""
"N0078075","E0014837","","",,""
"N0078075","E0014855","","",,""
"N0078075","E0014784","","",,""
"N0078106","N0070110","","",,""
"N0078106","N0068517","","",,""
"N0078106","N0068451","","",,""
"N0078106","N0070100","","",,""
"N0078160","E0014641","","",,""
"N0078160","E0014623","","",,""
"N0078160","E0047124","","",,""
"N0078161","E0009588","","",,""
"N0078181","E0040552","","",,""
"N0078181","E0040553","","",,""
"N0078181","N0065264","","",,""
"N0078182","N0065271","","",,""
"N0078182","N0078196","","",,""
"N0078182","E0040551","","",,""
"N0078182","E0040545","","",,""
"N0078182","E0040538","","",,""
"N0078182","E0040562","","",,""
"N0078182","E0040563","","",,""
"N0078196","E0040534","","",,""
"N0078196","E0040545","","",,""
"N0078196","E0040541","","",,""
"N0078196","N0078182","","",,""
"N0078207","E0044093","","",,""
"N0078207","N0061155","","",,""
"N0078207","N0061158","","",,""
"N0078221","E0020386","","",,""
"N0078221","E0050067","","",,""
"N0078221","E0052725","","",,""
"N0078239","N0078240","","",,""
"N0078240","N0078239","","",,""
"N0078346","E0055009","","",,""
"N0078404","N0066923","","",,""
"N0078404","N0066958","","",,""
"N0078404","N0073498","","",,""
"N0078405","ES001785","","",,""
"N0078405","ES000501","","",,""
"N0078406","ES001082","","",,""
"N0078406","N0077215","","",,""
"N0078406","N0066876","","",,""
"N0078406","N0076078","","",,""
"N0078407","N0077224","","",,""
"N0078407","N0077228","","",,""
"N0078407","ES003060","","",,""
"N0078407","N0066829","","",,""
"N0078408","N0077966","","",,""
"N0078408","N0077383","","",,""
"N0078408","N0066834","","",,""
"N0078408","N0073424","","",,""
"N0078412","E0050110","","",,""
"N0078426","E0040551","","",,""
"N0078426","E0040563","","",,""
"N0078426","N0065337","","",,""
"N0078426","N0065341","","",,""
"N0078500","E0046816","","",,""
"N0078500","E0013088","","",,""
"N0078500","E0013105","","",,""
"N0078500","E0013134","","",,""
"N0078500","E0013189","","",,""
"N0078691","E0043708","","",,""
"N0078691","E0043701","","",,""
"N0078691","E0001013","","",,""
"N0079447","E0001112","","",,""
"N0079577","E0039270","","",,""
"N0080455","N0064941","","",,""
"N0080455","N0064958","","",,""
"N0080534","E0053471","","",,""
"N0080534","N0061333","","",,""
"N0080785","E0039327","","",,""
"N0080788","E0038314","","",,""
"N0080788","E0038585","","",,""
"N0080788","E0053224","","",,""
"N0080795","E0041997","","",,""
"N0080795","E0042020","","",,""
